Date,High,Low,Open,Close,Volume,Adj Close
2017-01-03,225.8300018310547,223.8800048828125,225.0399932861328,225.24000549316406,91366500.0,206.87179565429688
2017-01-04,226.75,225.61000061035156,225.6199951171875,226.5800018310547,78744400.0,208.10252380371094
2017-01-05,226.5800018310547,225.47999572753906,226.27000427246094,226.39999389648438,78379000.0,207.93714904785156
2017-01-06,227.75,225.89999389648438,226.52999877929688,227.2100067138672,71559900.0,208.68113708496094
2017-01-09,227.07000732421875,226.4199981689453,226.91000366210938,226.4600067138672,46939700.0,207.9923095703125
2017-01-10,227.4499969482422,226.00999450683594,226.47999572753906,226.4600067138672,63771900.0,207.9923095703125
2017-01-11,227.10000610351562,225.58999633789062,226.36000061035156,227.10000610351562,74650000.0,208.580078125
2017-01-12,226.75,224.9600067138672,226.5,226.52999877929688,72113200.0,208.05657958984375
2017-01-13,227.39999389648438,226.69000244140625,226.72999572753906,227.0500030517578,62717900.0,208.53414916992188
2017-01-17,226.77999877929688,225.8000030517578,226.30999755859375,226.25,61240800.0,207.7993927001953
2017-01-18,226.8000030517578,225.89999389648438,226.5399932861328,226.75,54793300.0,208.25863647460938
2017-01-19,227.0,225.41000366210938,226.83999633789062,225.91000366210938,66608800.0,207.4871063232422
2017-01-20,227.30999755859375,225.97000122070312,226.6999969482422,226.74000549316406,129168600.0,208.24945068359375
2017-01-23,226.80999755859375,225.27000427246094,226.74000549316406,226.14999389648438,75061600.0,207.70755004882812
2017-01-24,228.0800018310547,226.27000427246094,226.39999389648438,227.60000610351562,95555300.0,209.03929138183594
2017-01-25,229.57000732421875,228.50999450683594,228.6999969482422,229.57000732421875,84437700.0,210.8487091064453
2017-01-26,229.7100067138672,229.00999450683594,229.39999389648438,229.3300018310547,59970700.0,210.6282501220703
2017-01-27,229.58999633789062,228.75999450683594,229.4199981689453,228.97000122070312,59711100.0,210.29762268066406
2017-01-30,228.1999969482422,226.41000366210938,228.1699981689453,227.5500030517578,79737300.0,208.993408203125
2017-01-31,227.60000610351562,226.32000732421875,226.97999572753906,227.52999877929688,75880800.0,208.9750213623047
2017-02-01,228.58999633789062,226.94000244140625,227.52999877929688,227.6199951171875,79117700.0,209.0576629638672
2017-02-02,228.10000610351562,226.82000732421875,227.6199951171875,227.77000427246094,69657600.0,209.19544982910156
2017-02-03,229.5500030517578,228.4600067138672,228.82000732421875,229.33999633789062,80563200.0,210.63743591308594
2017-02-06,229.3300018310547,228.5399932861328,228.8699951171875,228.92999267578125,57790100.0,210.2608642578125
2017-02-07,229.66000366210938,228.72000122070312,229.3800048828125,228.94000244140625,57931200.0,210.27003479003906
2017-02-08,229.38999938964844,228.30999755859375,228.94000244140625,229.24000549316406,51566200.0,210.5455780029297
2017-02-09,230.9499969482422,229.24000549316406,229.24000549316406,230.60000610351562,65955200.0,211.79466247558594
2017-02-10,231.77000427246094,230.6199951171875,231.0,231.50999450683594,66015900.0,212.63046264648438
2017-02-13,233.07000732421875,232.0500030517578,232.0800018310547,232.77000427246094,55182100.0,213.78770446777344
2017-02-14,233.7100067138672,232.16000366210938,232.55999755859375,233.6999969482422,71109000.0,214.6418914794922
2017-02-15,235.13999938964844,233.38999938964844,233.4499969482422,234.9199981689453,86785800.0,215.76239013671875
2017-02-16,235.16000366210938,233.85000610351562,234.9499969482422,234.72000122070312,84722400.0,215.5786590576172
